phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,reference.reason_exclude,
0,38886,43383,"1",0,39916,0,"3","0","",
1,43384,44097,"2",1,44097,0,"0","0","",
2,44098,44573,"3",2,44573,0,"0","0","",
3,44574,46172,"4",3,46172,0,"0","0","",
4,54968,60655,"1",4,60655,0,"2","0","",
5,60656,61573,"2",5,61573,0,"0","0","",
6,61574,61607,"3",6,61607,0,"0","0","",
7,61608,70108,"4",7,70108,0,"2","0","",
8,79293,83572,"1",8,83572,0,"1","0","",
9,83572,84319,"2",9,84319,0,"0","0","",
10,84320,84387,"3",10,84387,0,"0","0","",
11,84388,87992,"4",11,87992,0,"1","0","",
12,97611,102237,"1",12,102237,0,"1","0","",
13,102238,102985,"2",13,102985,0,"0","0","",
14,102986,103121,"3",14,103121,0,"0","0","",
15,103122,108970,"4",15,108970,0,"2","0","",
16,119333,123725,"1",,,,,,,
17,123726,124405,"2",,,,,,,
18,124406,124541,"3",,,,,,,
19,124542,126684,"4",,,,,,,
20,134380,140487,"1",,,,,,,
21,140488,141269,"2",,,,,,,
22,141270,141643,"3",,,,,,,
23,141644,146574,"4",,,,,,,
24,155802,160003,"1",,,,,,,
25,160004,160547,"2",,,,,,,
26,160548,161227,"3",,,,,,,
27,161227,162622,"4",,,,,,,
28,169716,174011,"1",,,,,,,
29,174012,174895,"2",,,,,,,
30,174896,175065,"3",,,,,,,
31,175066,177344,"4",,,,,,,
32,187700,192133,"1",,,,,,,
33,192134,192813,"2",,,,,,,
34,192814,193017,"3",,,,,,,
35,193018,194854,"4",,,,,,,
36,203984,209065,"1",,,,,,,
37,209066,209949,"2",,,,,,,
38,209950,210017,"3",,,,,,,
39,210018,219572,"4",,,,,,,
40,231044,235381,"1",,,,,,,
41,235382,236163,"2",,,,,,,
42,236164,236333,"3",,,,,,,
43,236334,238442,"4",,,,,,,
44,246592,251191,"1",,,,,,,
45,251192,251973,"2",,,,,,,
46,251974,251973,"3",,,,,,,
47,251974,254320,"4",,,,,,,
