phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,reference.reason_exclude,
0,42160,46171,"1",0,46171,0,"1","0","",
1,46172,46783,"2",1,46783,0,"0","0","",
2,46784,47361,"3",2,47361,0,"0","0","",
3,47362,50354,"4",3,50354,0,"0","0","",
4,58093,63069,"1",4,58093,0,"1","0","",
5,63070,63919,"2",5,63919,0,"0","0","",
6,63920,64327,"3",6,64327,0,"0","0","",
7,64328,73236,"4",7,73236,0,"1","0","",
8,83152,87311,"1",8,87311,0,"1","0","",
9,87312,88059,"2",9,88059,0,"0","0","",
10,88060,88365,"3",10,88365,0,"0","0","",
11,88366,90576,"4",11,90576,0,"0","0","",
12,98033,103088,"1",12,103088,0,"1","0","",
13,103088,103937,"2",13,103937,0,"0","0","",
14,103938,104243,"3",14,104243,0,"0","0","",
15,104244,106896,"4",15,106896,0,"0","0","",
16,116785,121719,"1",,,,,,,
17,121720,122331,"2",,,,,,,
18,122332,122943,"3",,,,,,,
19,122944,125018,"4",,,,,,,
20,133902,139195,"1",,,,,,,
21,139196,139875,"2",,,,,,,
22,139876,141881,"3",,,,,,,
23,141882,143446,"4",,,,,,,
24,154990,159289,"1",,,,,,,
25,159290,160071,"2",,,,,,,
26,160072,160615,"3",,,,,,,
27,160616,163574,"4",,,,,,,
28,173008,177649,"1",,,,,,,
29,177650,178499,"2",,,,,,,
30,178500,178941,"3",,,,,,,
31,178942,181628,"4",,,,,,,
32,191527,196179,"1",,,,,,,
33,196180,196961,"2",,,,,,,
34,196962,198389,"3",,,,,,,
35,198390,201348,"4",,,,,,,
36,209712,215559,"1",,,,,,,
37,215560,216443,"2",,,,,,,
38,216444,218993,"3",,,,,,,
39,218994,224230,"4",,,,,,,
40,233102,237897,"1",,,,,,,
41,237898,238543,"2",,,,,,,
42,238544,238849,"3",,,,,,,
43,238850,243440,"4",,,,,,,
44,253055,258229,"1",,,,,,,
45,258230,259215,"2",,,,,,,
46,259216,260813,"3",,,,,,,
47,260814,260874,"4",,,,,,,
