phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,reference.reason_exclude,
0,84154,88807,"1",0,84354,0,"2","0","",
1,88808,89692,"2",1,89692,0,"0","0","",
2,89692,89725,"3",2,89725,0,"0","0","",
3,89726,92140,"4",3,92140,0,"0","0","",
4,103206,110567,"1",4,110567,0,"3","0","",
5,110568,111792,"2",5,111792,0,"0","0","",
6,111792,113423,"3",6,113423,0,"0","0","",
7,113424,114750,"4",7,114750,0,"0","0","",
8,130700,135897,"1",8,135897,0,"1","0","",
9,135898,136850,"2",9,136850,0,"0","0","",
10,136850,137053,"3",10,137053,0,"0","0","",
11,137054,140182,"4",11,140182,0,"0","0","",
12,151420,156875,"1",12,156875,0,"1","0","",
13,156876,157828,"2",13,157828,0,"0","0","",
14,157828,163301,"3",14,163301,0,"2","0","",
15,163302,164900,"4",15,164900,0,"0","0","",
16,176646,181525,"1",,,,,,,
17,181526,182205,"2",,,,,,,
18,182206,183089,"3",,,,,,,
19,183090,184994,"4",,,,,,,
20,194396,201483,"1",,,,,,,
21,201484,202367,"2",,,,,,,
22,202368,202673,"3",,,,,,,
23,202674,205632,"4",,,,,,,
24,215919,221067,"1",,,,,,,
25,221068,221985,"2",,,,,,,
26,221986,222835,"3",,,,,,,
27,222836,224638,"4",,,,,,,
28,235171,241297,"1",,,,,,,
29,241298,242351,"2",,,,,,,
30,242352,245139,"3",,,,,,,
31,245140,247350,"4",,,,,,,
32,261698,266797,"1",,,,,,,
33,266798,267579,"2",,,,,,,
34,267580,267987,"3",,,,,,,
35,267988,270266,"4",,,,,,,
36,283052,287503,"1",,,,,,,
37,287504,288488,"2",,,,,,,
38,288489,290256,"3",,,,,,,
39,290257,291278,"4",,,,,,,
40,302705,309671,"1",,,,,,,
41,309672,310589,"2",,,,,,,
42,310590,311200,"3",,,,,,,
43,311201,313718,"4",,,,,,,
44,326262,332144,"1",,,,,,,
45,332145,333199,"2",,,,,,,
46,333200,336904,"3",,,,,,,
47,336905,339660,"4",,,,,,,
