phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,reference.reason_exclude,
0,43677,47905,"1",0,44166,0,"2","0","",
1,47906,48006,"2",1,48006,0,"0","0","",
2,48007,48007,"3",2,48007,0,"0","0","",
3,48008,51204,"4",3,51204,0,"0","0","",
4,59827,64021,"1",4,64021,0,"2","0","",
5,64022,65619,"2",5,65619,0,"0","0","",
6,65620,65653,"3",6,65653,0,"0","0","",
7,65654,68238,"4",7,68238,0,"1","0","",
8,75910,80817,"1",8,80817,0,"2","0","",
9,80818,81463,"2",9,81463,0,"0","0","",
10,81464,81735,"3",10,81735,0,"0","0","",
11,81736,84252,"4",11,84252,0,"1","0","",
12,91192,95913,"1",12,95913,0,"2","0","",
13,95914,96661,"2",13,96661,0,"0","0","",
14,96662,102781,"3",14,102781,0,"3","0","",
15,102782,104142,"4",15,104142,0,"1","0","",
16,112947,117298,"1",,,,,,,
17,117299,118013,"2",,,,,,,
18,118014,118421,"3",,,,,,,
19,118422,120122,"4",,,,,,,
20,128062,131341,"1",,,,,,,
21,131342,133211,"2",,,,,,,
22,133212,133517,"3",,,,,,,
23,133518,135490,"4",,,,,,,
24,143476,148171,"1",,,,,,,
25,148172,148953,"2",,,,,,,
26,148954,149225,"3",,,,,,,
27,149226,151810,"4",,,,,,,
28,160460,164593,"1",,,,,,,
29,164594,165375,"2",,,,,,,
30,165376,167585,"3",,,,,,,
31,167586,169320,"4",,,,,,,
32,179012,183055,"1",,,,,,,
33,183056,183837,"2",,,,,,,
34,183838,184007,"3",,,,,,,
35,184008,187068,"4",,,,,,,
36,194195,197777,"1",,,,,,,
37,197778,198967,"2",,,,,,,
38,198968,199103,"3",,,,,,,
39,199104,201960,"4",,,,,,,
40,210176,215083,"1",,,,,,,
41,215084,215899,"2",,,,,,,
42,215900,216579,"3",,,,,,,
43,216580,218382,"4",,,,,,,
44,226126,231369,"1",,,,,,,
45,231370,232729,"2",,,,,,,
46,232730,233137,"3",,,,,,,
47,233138,235620,"4",,,,,,,
