phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,reference.reason_exclude,
0,73433,78233,"1",0,78233,0,"2","0","",
1,78234,78845,"2",1,78845,0,"0","0","",
2,78846,79117,"3",2,79117,0,"0","0","",
3,79118,80410,"4",3,80410,0,"0","0","",
4,88114,92887,"1",4,92887,0,"2","0","",
5,92888,93635,"2",5,93635,0,"0","0","",
6,93636,93635,"3",6,93636,0,"0","0","",
7,93636,98056,"4",7,98056,0,"1","0","",
8,108568,113423,"1",8,113423,0,"2","0","",
9,113424,114137,"2",9,114137,0,"0","0","",
10,114138,114239,"3",10,114239,0,"0","0","",
11,114240,116756,"4",11,116756,0,"0","0","",
12,126019,131681,"1",12,131681,0,"1","0","",
13,131682,132395,"2",13,132395,0,"0","0","",
14,132396,133959,"3",14,133959,0,"1","0","",
15,133960,134946,"4",15,134946,0,"2","0","",
16,144504,150177,"1",,,,,,,
17,150178,150993,"2",,,,,,,
18,150994,151367,"3",,,,,,,
19,151368,153408,"4",,,,,,,
20,174100,178601,"1",,,,,,,
21,178602,179485,"2",,,,,,,
22,179486,179791,"3",,,,,,,
23,179792,181594,"4",,,,,,,
24,191416,196927,"1",,,,,,,
25,196928,197641,"2",,,,,,,
26,197642,198083,"3",,,,,,,
27,198084,200226,"4",,,,,,,
28,209102,214641,"1",,,,,,,
29,214642,215763,"2",,,,,,,
30,215764,216307,"3",,,,,,,
31,216308,218212,"4",,,,,,,
32,230500,235959,"1",,,,,,,
33,235960,236741,"2",,,,,,,
34,236742,236911,"3",,,,,,,
35,236912,238816,"4",,,,,,,
36,260286,265165,"1",,,,,,,
37,265166,266117,"2",,,,,,,
38,266118,266219,"3",,,,,,,
39,266220,267954,"4",,,,,,,
40,299257,304707,"1",,,,,,,
41,304708,305285,"2",,,,,,,
42,305286,305896,"3",,,,,,,
43,305897,307564,"4",,,,,,,
44,317543,322795,"1",,,,,,,
45,322796,323679,"2",,,,,,,
46,323680,324359,"3",,,,,,,
47,324360,325788,"4",,,,,,,
