phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,reference.reason_exclude,
0,65078,69869,"1",0,69869,0,"1","0","",
1,69870,70549,"2",1,70549,0,"0","0","",
2,70550,71093,"3",2,71093,0,"0","0","",
3,71094,73508,"4",3,73508,0,"0","0","",
4,81961,87141,"1",4,87141,0,"1","0","",
5,87142,87957,"2",5,87957,0,"0","0","",
6,87958,88467,"3",6,88467,0,"0","0","",
7,88468,91120,"4",7,91120,0,"1","0","",
8,101247,105977,"1",8,105977,0,"2","0","",
9,105978,106589,"2",9,105978,0,"0","0","",
10,106590,106997,"3",10,106997,0,"0","0","",
11,106998,109548,"4",11,109548,0,"1","0","",
12,117964,123759,"1",12,123759,0,"1","0","",
13,123760,124643,"2",13,124643,0,"0","0","",
14,124644,124813,"3",14,124813,0,"0","0","",
15,124814,127398,"4",15,127398,0,"0","0","",
16,138818,143581,"1",,,,,,,
17,143582,144227,"2",,,,,,,
18,144228,144533,"3",,,,,,,
19,144534,146370,"4",,,,,,,
20,155400,160377,"1",,,,,,,
21,160378,161159,"2",,,,,,,
22,161160,161839,"3",,,,,,,
23,161840,163506,"4",,,,,,,
24,179224,183735,"1",,,,,,,
25,183736,184483,"2",,,,,,,
26,184484,185197,"3",,,,,,,
27,185198,186694,"4",,,,,,,
28,195608,200905,"1",,,,,,,
29,200906,201925,"2",,,,,,,
30,201926,202401,"3",,,,,,,
31,202402,204340,"4",,,,,,,
32,219498,224603,"1",,,,,,,
33,224604,225453,"2",,,,,,,
34,225454,226235,"3",,,,,,,
35,226236,227290,"4",,,,,,,
36,235748,241195,"1",,,,,,,
37,241196,242147,"2",,,,,,,
38,242148,242419,"3",,,,,,,
39,242420,245072,"4",,,,,,,
40,270182,274379,"1",,,,,,,
41,274380,275059,"2",,,,,,,
42,275060,275296,"3",,,,,,,
43,275297,280908,"4",,,,,,,
44,289135,294099,"1",,,,,,,
45,294100,294643,"2",,,,,,,
46,294644,294643,"3",,,,,,,
47,294644,297942,"4",,,,,,,
