Experiment,Phase,Mean Duration,SD
1,label,5064.780208333334,907.3258021143444
1,slide,869.8070907194995,194.21867265995428
1,planning,1269.6535433070867,2245.580205851857
1,response,3632.225234619395,4574.772847567019
2,label,5239.234375,748.0485019556045
2,slide,818.9520833333333,1307.2708151510963
2,planning,790.8802083333334,10327.45264904027
2,response,4084.5604166666667,5032.36829136265
