phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,
0,48559,53073,"1",,,,,,
1,53074,54093,"2",,,,,,
2,54094,56711,"3",,,,,,
3,56712,57663,"4",,,,,,
4,67211,0,"1",,,,,,
5,72216,73711,"2",,,,,,
6,73712,74153,"3",,,,,,
7,74154,77044,"4",,,,,,
8,92169,96287,"1",,,,,,
9,96288,97205,"2",,,,,,
10,97206,97477,"3",,,,,,
11,97478,99348,"4",,,,,,
12,107685,112403,"1",,,,,,
13,112404,113389,"2",,,,,,
14,113390,114273,"3",,,,,,
15,114274,115464,"4",,,,,,
