phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,
0,65078,69869,"1",,,,,,
1,69870,70549,"2",,,,,,
2,70550,71093,"3",,,,,,
3,71094,73508,"4",,,,,,
4,81961,87141,"1",,,,,,
5,87142,87957,"2",,,,,,
6,87958,88467,"3",,,,,,
7,88468,91120,"4",,,,,,
8,101247,105977,"1",,,,,,
9,105978,106589,"2",,,,,,
10,106590,106997,"3",,,,,,
11,106998,109548,"4",,,,,,
12,117964,123759,"1",,,,,,
13,123760,124643,"2",,,,,,
14,124644,124813,"3",,,,,,
15,124814,127398,"4",,,,,,
