phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,
0,71426,82518,"1",,,,,,
1,82518,83402,"2",,,,,,
2,83402,83810,"3",,,,,,
3,83810,91766,"4",,,,,,
4,109965,116416,"1",,,,,,
5,116416,117164,"2",,,,,,
6,117164,120019,"3",,,,,,
7,120020,122944,"4",,,,,,
8,134523,139161,"1",,,,,,
9,139162,139910,"2",,,,,,
10,139910,140351,"3",,,,,,
11,140352,143140,"4",,,,,,
12,162050,168878,"1",,,,,,
13,168878,169796,"2",,,,,,
14,169796,173297,"3",,,,,,
15,173298,174352,"4",,,,,,
