phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,
0,54598,0,"1",,,,,,
1,59432,60213,"2",,,,,,
2,60214,60519,"3",,,,,,
3,60520,62900,"4",,,,,,
4,70881,76703,"1",,,,,,
5,76704,77553,"2",,,,,,
6,77554,77723,"3",,,,,,
7,77724,80750,"4",,,,,,
8,90000,95267,"1",,,,,,
9,95268,96083,"2",,,,,,
10,96084,97069,"3",,,,,,
11,97070,100640,"4",,,,,,
12,110954,116891,"1",,,,,,
13,116892,117639,"2",,,,,,
14,117640,125459,"3",,,,,,
15,125460,126004,"4",,,,,,
