phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,
0,56454,61539,"1",,,,,,
1,61540,62219,"2",,,,,,
2,62220,62250,"3",,,,,,
3,62526,65382,"4",,,,,,
4,73104,79288,"1",,,,,,
5,79288,80205,"2",,,,,,
6,80206,81225,"3",,,,,,
7,81226,93194,"4",,,,,,
8,103401,107779,"1",,,,,,
9,107780,108459,"2",,,,,,
10,108460,108731,"3",,,,,,
11,108732,110874,"4",,,,,,
12,118449,123623,"1",,,,,,
13,123624,124337,"2",,,,,,
14,124338,125595,"3",,,,,,
15,125596,126582,"4",,,,,,
