phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,
0,58116,62933,"1",,,,,,
1,62934,63647,"2",,,,,,
2,63648,65381,"3",,,,,,
3,65382,67626,"4",,,,,,
4,75300,80307,"1",,,,,,
5,80308,81225,"2",,,,,,
6,81226,83639,"3",,,,,,
7,83640,84626,"4",,,,,,
8,102293,106725,"1",,,,,,
9,106726,107575,"2",,,,,,
10,107576,109581,"3",,,,,,
11,109582,110500,"4",,,,,,
12,118910,123793,"1",,,,,,
13,123794,124677,"2",,,,,,
14,124678,126717,"3",,,,,,
15,126718,127976,"4",,,,,,
