phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,
0,84744,90201,"1",,,,,,
1,90202,90984,"2",,,,,,
2,90984,91187,"3",,,,,,
3,91188,94418,"4",,,,,,
4,103062,111791,"1",,,,,,
5,111792,112710,"2",,,,,,
6,112710,112845,"3",,,,,,
7,112846,120054,"4",,,,,,
8,133960,141405,"1",,,,,,
9,141406,142154,"2",,,,,,
10,142154,142493,"3",,,,,,
11,142494,159256,"4",,,,,,
12,173566,182035,"1",,,,,,
13,182036,182988,"2",,,,,,
14,182988,183157,"3",,,,,,
15,183158,211038,"4",,,,,,
