phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,
0,71151,75921,"1",,,,,,
1,75922,76839,"2",,,,,,
2,76840,76941,"3",,,,,,
3,76942,80307,"4",,,,,,
4,89169,93499,"1",,,,,,
5,93500,94689,"2",,,,,,
6,94690,95437,"3",,,,,,
7,95438,99042,"4",,,,,,
8,109356,114001,"1",,,,,,
9,114002,115055,"2",,,,,,
10,115056,115259,"3",,,,,,
11,115260,120836,"4",,,,,,
12,130944,135931,"1",,,,,,
13,135932,136917,"2",,,,,,
14,136918,137325,"3",,,,,,
15,137326,147254,"4",,,,,,
