phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,
0,40368,44471,"1",,,,,,
1,44472,45287,"2",,,,,,
2,45288,45287,"3",,,,,,
3,45288,48042,"4",,,,,,
4,56818,62015,"1",,,,,,
5,62016,63002,"2",,,,,,
6,63002,63001,"3",,,,,,
7,63002,66266,"4",,,,,,
8,76304,80647,"1",,,,,,
9,80648,81294,"2",,,,,,
10,81294,81294,"3",,,,,,
11,81294,85272,"4",,,,,,
12,94422,98293,"1",,,,,,
13,98294,99144,"2",,,,,,
14,99144,99143,"3",,,,,,
15,99144,104958,"4",,,,,,
