phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,
0,73433,78233,"1",,,,,,
1,78234,78845,"2",,,,,,
2,78846,79117,"3",,,,,,
3,79118,80410,"4",,,,,,
4,88114,92887,"1",,,,,,
5,92888,93635,"2",,,,,,
6,93636,93635,"3",,,,,,
7,93636,98056,"4",,,,,,
8,108568,113423,"1",,,,,,
9,113424,114137,"2",,,,,,
10,114138,114239,"3",,,,,,
11,114240,116756,"4",,,,,,
12,126019,131681,"1",,,,,,
13,131682,132395,"2",,,,,,
14,132396,133959,"3",,,,,,
15,133960,134946,"4",,,,,,
