phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,
0,52620,57527,"1",,,,,,
1,57528,58377,"2",,,,,,
2,58378,58683,"3",,,,,,
3,58684,61370,"4",,,,,,
4,69938,74663,"1",,,,,,
5,74664,75683,"2",,,,,,
6,75684,76363,"3",,,,,,
7,76364,78914,"4",,,,,,
8,88523,93125,"1",,,,,,
9,93126,93873,"2",,,,,,
10,93874,93873,"3",,,,,,
11,93874,96288,"4",,,,,,
12,104072,108867,"1",,,,,,
13,108868,109853,"2",,,,,,
14,109854,109989,"3",,,,,,
15,109990,112777,"4",,,,,,
