phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,
0,55623,60451,"1",,,,,,
1,60452,61029,"2",,,,,,
2,61030,61607,"3",,,,,,
3,61608,63002,"4",,,,,,
4,69937,74731,"1",,,,,,
5,74732,75513,"2",,,,,,
6,75514,75581,"3",,,,,,
7,75582,77520,"4",,,,,,
8,85920,90643,"1",,,,,,
9,90644,91357,"2",,,,,,
10,91358,91901,"3",,,,,,
11,91902,93568,"4",,,,,,
12,101936,106759,"1",,,,,,
13,106760,107541,"2",,,,,,
14,107542,110091,"3",,,,,,
15,110092,110772,"4",,,,,,
