phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,
0,40725,44879,"1",,,,,,
1,44880,46443,"2",,,,,,
2,46444,49061,"3",,,,,,
3,49062,50320,"4",,,,,,
4,59160,64055,"1",,,,,,
5,64056,65142,"2",,,,,,
6,65143,86291,"3",,,,,,
7,86292,91358,"4",,,,,,
8,100660,104140,"1",,,,,,
9,104141,104889,"2",,,,,,
10,104890,105739,"3",,,,,,
11,105740,107322,"4",,,,,,
12,116567,120597,"1",,,,,,
13,120598,121719,"2",,,,,,
14,121720,123453,"3",,,,,,
15,123454,124678,"4",,,,,,
