phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,
0,61446,66707,"1",,,,,,
1,66708,67489,"2",,,,,,
2,67490,68203,"3",,,,,,
3,68204,70414,"4",,,,,,
4,78630,84115,"1",,,,,,
5,84116,84999,"2",,,,,,
6,85000,85543,"3",,,,,,
7,85544,89454,"4",,,,,,
8,100652,104957,"1",,,,,,
9,104958,106181,"2",,,,,,
10,106182,106385,"3",,,,,,
11,106386,111792,"4",,,,,,
12,119504,124983,"1",,,,,,
13,124984,125867,"2",,,,,,
14,125868,126717,"3",,,,,,
15,126718,139876,"4",,,,,,
