phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,
0,46016,50999,"1",,,,,,
1,51000,51679,"2",,,,,,
2,51680,53005,"3",,,,,,
3,53006,54536,"4",,,,,,
4,61862,67455,"1",,,,,,
5,67456,68237,"2",,,,,,
6,68238,70039,"3",,,,,,
7,70040,70719,"4",,,,,,
8,79883,84557,"1",,,,,,
9,84558,85339,"2",,,,,,
10,85340,85985,"3",,,,,,
11,85986,87176,"4",,,,,,
12,95332,100571,"1",,,,,,
13,100572,101455,"2",,,,,,
14,101456,102305,"3",,,,,,
15,102306,104278,"4",,,,,,
