phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,
0,60824,65892,"1",,,,,,
1,65892,66742,"2",,,,,,
2,66742,67455,"3",,,,,,
3,67456,69054,"4",,,,,,
4,79009,84082,"1",,,,,,
5,84082,84966,"2",,,,,,
6,84966,107779,"3",,,,,,
7,107780,108766,"4",,,,,,
8,120083,124440,"1",,,,,,
9,124440,125120,"2",,,,,,
10,125120,125357,"3",,,,,,
11,125358,127670,"4",,,,,,
12,137768,142562,"1",,,,,,
13,142562,143344,"2",,,,,,
14,143344,143513,"3",,,,,,
15,143514,146336,"4",,,,,,
