phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,
0,44383,48721,"1",,,,,,
1,48722,49673,"2",,,,,,
2,49674,52937,"3",,,,,,
3,52938,55488,"4",,,,,,
4,63735,68849,"1",,,,,,
5,68850,69971,"2",,,,,,
6,69972,96253,"3",,,,,,
7,96254,97444,"4",,,,,,
8,106078,110227,"1",,,,,,
9,110228,110975,"2",,,,,,
10,110976,114103,"3",,,,,,
11,114104,115056,"4",,,,,,
12,123362,127567,"1",,,,,,
13,127568,128484,"2",,,,,,
14,128485,132225,"3",,,,,,
15,132226,133274,"4",,,,,,
