phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,
0,64498,68781,"1",,,,,,
1,68782,69461,"2",,,,,,
2,69462,69801,"3",,,,,,
3,69802,71468,"4",,,,,,
4,81015,85917,"1",,,,,,
5,85918,86597,"2",,,,,,
6,86598,86801,"3",,,,,,
7,86802,88910,"4",,,,,,
8,100267,105161,"1",,,,,,
9,105162,105875,"2",,,,,,
10,105876,106147,"3",,,,,,
11,106148,112166,"4",,,,,,
12,121522,126853,"1",,,,,,
13,126854,127669,"2",,,,,,
14,127670,129029,"3",,,,,,
15,129030,131444,"4",,,,,,
