phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,
0,54701,59363,"1",,,,,,
1,59364,59941,"2",,,,,,
2,59942,60553,"3",,,,,,
3,60554,62594,"4",,,,,,
4,70951,75955,"1",,,,,,
5,75956,76703,"2",,,,,,
6,76704,77587,"3",,,,,,
7,77588,81940,"4",,,,,,
8,90070,94655,"1",,,,,,
9,94656,95301,"2",,,,,,
10,95302,95641,"3",,,,,,
11,95642,100368,"4",,,,,,
12,107254,112471,"1",,,,,,
13,112472,113287,"2",,,,,,
14,113288,113661,"3",,,,,,
15,113662,117028,"4",,,,,,
