phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,
0,46093,50625,"1",,,,,,
1,50626,51237,"2",,,,,,
2,51238,51883,"3",,,,,,
3,51884,54196,"4",,,,,,
4,64545,69155,"1",,,,,,
5,69156,70005,"2",,,,,,
6,70006,70005,"3",,,,,,
7,70006,74392,"4",,,,,,
8,84698,89385,"1",,,,,,
9,89386,90371,"2",,,,,,
10,90372,90711,"3",,,,,,
11,90712,97274,"4",,,,,,
12,106487,111689,"1",,,,,,
13,111690,112471,"2",,,,,,
14,112472,112811,"3",,,,,,
15,112812,115464,"4",,,,,,
