phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,
0,52955,57017,"1",,,,,,
1,57018,57833,"2",,,,,,
2,57834,59227,"3",,,,,,
3,59228,61370,"4",,,,,,
4,69738,74459,"1",,,,,,
5,74460,75343,"2",,,,,,
6,75344,76669,"3",,,,,,
7,76670,78166,"4",,,,,,
8,90826,95267,"1",,,,,,
9,95268,96117,"2",,,,,,
10,96118,97307,"3",,,,,,
11,97308,98498,"4",,,,,,
12,105240,110601,"1",,,,,,
13,110602,111553,"2",,,,,,
14,111554,112913,"3",,,,,,
15,112914,115294,"4",,,,,,
