phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,
0,41602,46103,"1",,,,,,
1,46104,46987,"2",,,,,,
2,46988,47429,"3",,,,,,
3,47430,49742,"4",,,,,,
4,57919,62627,"1",,,,,,
5,62628,63579,"2",,,,,,
6,63580,64293,"3",,,,,,
7,64294,67795,"4",,,,,,
8,76471,80647,"1",,,,,,
9,80648,81429,"2",,,,,,
10,81430,82075,"3",,,,,,
11,82076,87849,"4",,,,,,
12,92620,98191,"1",,,,,,
13,98192,99177,"2",,,,,,
14,99178,101115,"3",,,,,,
15,101116,101830,"4",,,,,,
