phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,
0,65413,71093,"1",,,,,,
1,71094,71841,"2",,,,,,
2,71842,71841,"3",,,,,,
3,71842,77588,"4",,,,,,
4,86568,92547,"1",,,,,,
5,92548,93329,"2",,,,,,
6,93330,93635,"3",,,,,,
7,93636,97240,"4",,,,,,
8,107522,112505,"1",,,,,,
9,112506,113151,"2",,,,,,
10,113152,114069,"3",,,,,,
11,114070,115294,"4",,,,,,
12,126107,131171,"1",,,,,,
13,131172,131987,"2",,,,,,
14,131988,132395,"3",,,,,,
15,132396,134368,"4",,,,,,
