phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,
0,56181,61505,"1",,,,,,
1,61506,62253,"2",,,,,,
2,62254,64055,"3",,,,,,
3,64056,65858,"4",,,,,,
4,75467,0,"1",,,,,,
5,80818,81667,"2",,,,,,
6,81668,81837,"3",,,,,,
7,81838,84660,"4",,,,,,
8,96521,101659,"1",,,,,,
9,101660,102509,"2",,,,,,
10,102510,103733,"3",,,,,,
11,103734,107712,"4",,,,,,
12,131490,136747,"1",,,,,,
13,136748,137699,"2",,,,,,
14,137700,137699,"3",,,,,,
15,137700,141678,"4",,,,,,
