phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,
0,49181,54059,"1",,,,,,
1,54060,54876,"2",,,,,,
2,54876,55759,"3",,,,,,
3,55760,58684,"4",,,,,,
4,66799,71365,"1",,,,,,
5,71434,72216,"2",,,,,,
6,72216,73780,"3",,,,,,
7,73780,76228,"4",,,,,,
8,97129,101115,"1",,,,,,
9,101116,101762,"2",,,,,,
10,101762,102747,"3",,,,,,
11,102748,105604,"4",,,,,,
12,113212,117946,"1",,,,,,
13,117946,119033,"2",,,,,,
14,119034,121923,"3",,,,,,
15,121924,123862,"4",,,,,,
