phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,
0,72407,77928,"1",,,,,,
1,77928,78947,"2",,,,,,
2,78948,79593,"3",,,,,,
3,79594,81974,"4",,,,,,
4,93795,98973,"1",,,,,,
5,98974,99959,"2",,,,,,
6,99960,100197,"3",,,,,,
7,100198,105502,"4",,,,,,
8,120488,124643,"1",,,,,,
9,124644,125527,"2",,,,,,
10,125528,125595,"3",,,,,,
11,125596,127466,"4",,,,,,
12,135836,141201,"1",,,,,,
13,141202,142153,"2",,,,,,
14,142154,142323,"3",,,,,,
15,142324,146608,"4",,,,,,
