phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,
0,38830,42907,"1",,,,,,
1,42908,43689,"2",,,,,,
2,43690,43791,"3",,,,,,
3,43792,46444,"4",,,,,,
4,54846,60111,"1",,,,,,
5,60112,60757,"2",,,,,,
6,60758,61335,"3",,,,,,
7,61336,63546,"4",,,,,,
8,72531,76771,"1",,,,,,
9,76772,77519,"2",,,,,,
10,77520,77927,"3",,,,,,
11,77928,81294,"4",,,,,,
12,90616,95710,"1",,,,,,
13,95710,96593,"2",,,,,,
14,96594,97273,"3",,,,,,
15,97274,100470,"4",,,,,,
