phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,
0,50325,55555,"1",,,,,,
1,55556,56167,"2",,,,,,
2,56168,58309,"3",,,,,,
3,58310,60010,"4",,,,,,
4,70211,75989,"1",,,,,,
5,75990,76805,"2",,,,,,
6,76806,79457,"3",,,,,,
7,79458,80172,"4",,,,,,
8,90231,94621,"1",,,,,,
9,94622,95267,"2",,,,,,
10,95268,96321,"3",,,,,,
11,96322,97512,"4",,,,,,
12,106214,112335,"1",,,,,,
13,112336,113117,"2",,,,,,
14,113118,115667,"3",,,,,,
15,115668,116484,"4",,,,,,
