phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,
0,54688,60213,"1",,,,,,
1,60214,60927,"2",,,,,,
2,60928,60995,"3",,,,,,
3,60996,63342,"4",,,,,,
4,71639,78437,"1",,,,,,
5,78438,79287,"2",,,,,,
6,79288,80477,"3",,,,,,
7,80478,81668,"4",,,,,,
8,91425,96525,"1",,,,,,
9,96526,97239,"2",,,,,,
10,97240,97749,"3",,,,,,
11,97750,100096,"4",,,,,,
12,108843,114307,"1",,,,,,
13,114308,115123,"2",,,,,,
14,115124,118660,"3",,,,,,
15,118660,121346,"4",,,,,,
