phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,
0,60554,64565,"1",,,,,,
1,64566,65348,"2",,,,,,
2,65348,67217,"3",,,,,,
3,67218,67966,"4",,,,,,
4,76570,81395,"1",,,,,,
5,81396,82484,"2",,,,,,
6,82484,83435,"3",,,,,,
7,83436,84558,"4",,,,,,
8,94087,98565,"1",,,,,,
9,98566,99450,"2",,,,,,
10,99450,100401,"3",,,,,,
11,100402,106726,"4",,,,,,
12,116743,121957,"1",,,,,,
13,121958,123012,"2",,,,,,
14,123012,124031,"3",,,,,,
15,124032,130934,"4",,,,,,
