phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,
0,45693,50999,"1",,,,,,
1,51000,51747,"2",,,,,,
2,51748,51985,"3",,,,,,
3,51986,56644,"4",,,,,,
4,63477,68951,"1",,,,,,
5,68952,69665,"2",,,,,,
6,69666,69903,"3",,,,,,
7,69904,75378,"4",,,,,,
8,86200,91391,"1",,,,,,
9,91392,91935,"2",,,,,,
10,91936,92207,"3",,,,,,
11,92238,94622,"4",,,,,,
12,102383,107745,"1",,,,,,
13,107746,108527,"2",,,,,,
14,108528,108765,"3",,,,,,
15,108766,111690,"4",,,,,,
