phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,
0,45023,48857,"1",,,,,,
1,48858,49605,"2",,,,,,
2,49606,50081,"3",,,,,,
3,50082,51714,"4",,,,,,
4,61306,66163,"1",,,,,,
5,66164,67319,"2",,,,,,
6,67320,67965,"3",,,,,,
7,67966,70720,"4",,,,,,
8,79591,84013,"1",,,,,,
9,84014,84999,"2",,,,,,
10,85000,84999,"3",,,,,,
11,85000,90100,"4",,,,,,
12,98977,103835,"1",,,,,,
13,103836,104957,"2",,,,,,
14,104958,105569,"3",,,,,,
15,105570,108698,"4",,,,,,
