phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,
0,54406,59091,"1",,,,,,
1,59092,59907,"2",,,,,,
2,59908,60179,"3",,,,,,
3,60180,64294,"4",,,,,,
4,72157,77179,"1",,,,,,
5,77180,77995,"2",,,,,,
6,77996,78471,"3",,,,,,
7,78472,80716,"4",,,,,,
8,92510,97511,"1",,,,,,
9,97512,98123,"2",,,,,,
10,98124,99177,"3",,,,,,
11,99178,102578,"4",,,,,,
12,112764,119713,"1",,,,,,
13,119714,120665,"2",,,,,,
14,120666,129573,"3",,,,,,
15,129574,132362,"4",,,,,,
