phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,
0,51961,57493,"1",,,,,,
1,57494,58139,"2",,,,,,
2,58140,59227,"3",,,,,,
3,59228,63580,"4",,,,,,
4,72815,78879,"1",,,,,,
5,78880,79831,"2",,,,,,
6,79832,79933,"3",,,,,,
7,79934,83538,"4",,,,,,
8,96973,102645,"1",,,,,,
9,102646,103359,"2",,,,,,
10,103360,103699,"3",,,,,,
11,103700,107678,"4",,,,,,
12,116892,124303,"1",,,,,,
13,124304,125255,"2",,,,,,
14,125256,125595,"3",,,,,,
15,125596,131920,"4",,,,,,
