phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,
0,50438,55793,"1",,,,,,
1,55794,56609,"2",,,,,,
2,56610,56843,"3",,,,,,
3,56844,58752,"4",,,,,,
4,67522,73031,"1",,,,,,
5,73032,75105,"2",,,,,,
6,75106,84795,"3",,,,,,
7,84796,85918,"4",,,,,,
8,98152,102679,"1",,,,,,
9,102680,103393,"2",,,,,,
10,103394,103393,"3",,,,,,
11,103394,105808,"4",,,,,,
12,115269,119781,"1",,,,,,
13,119782,120733,"2",,,,,,
14,120734,120733,"3",,,,,,
15,120734,122876,"4",,,,,,
