phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,
0,48015,53651,"1",,,,,,
1,53652,54297,"2",,,,,,
2,54298,54977,"3",,,,,,
3,54978,56814,"4",,,,,,
4,64398,69869,"1",,,,,,
5,69870,70617,"2",,,,,,
6,70618,71161,"3",,,,,,
7,71162,73984,"4",,,,,,
8,81982,87209,"1",,,,,,
9,87210,87889,"2",,,,,,
10,87890,88093,"3",,,,,,
11,88094,88094,"4",,,,,,
12,97263,103155,"1",,,,,,
13,103156,103903,"2",,,,,,
14,103904,104413,"3",,,,,,
15,104414,106250,"4",,,,,,
