phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,
0,84154,88807,"1",,,,,,
1,88808,89692,"2",,,,,,
2,89692,89725,"3",,,,,,
3,89726,92140,"4",,,,,,
4,103206,110567,"1",,,,,,
5,110568,111792,"2",,,,,,
6,111792,113423,"3",,,,,,
7,113424,114750,"4",,,,,,
8,130700,135897,"1",,,,,,
9,135898,136850,"2",,,,,,
10,136850,137053,"3",,,,,,
11,137054,140182,"4",,,,,,
12,151420,156875,"1",,,,,,
13,156876,157828,"2",,,,,,
14,157828,163301,"3",,,,,,
15,163302,164900,"4",,,,,,
