phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,
0,47918,55283,"1",,,,,,
1,55284,55997,"2",,,,,,
2,55998,56303,"3",,,,,,
3,56304,57732,"4",,,,,,
4,66336,71774,"1",,,,,,
5,71774,72487,"2",,,,,,
6,72488,73371,"3",,,,,,
7,73372,74562,"4",,,,,,
8,85055,90201,"1",,,,,,
9,90202,90915,"2",,,,,,
10,90916,91391,"3",,,,,,
11,91392,106575,"4",,,,,,
12,106576,112403,"1",,,,,,
13,112404,113389,"2",,,,,,
14,113390,121413,"3",,,,,,
15,121414,121924,"4",,,,,,
