phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,
0,33696,37297,"1",,,,,,
1,37298,37909,"2",,,,,,
2,37910,40153,"3",,,,,,
3,40154,40902,"4",,,,,,
4,49512,53209,"1",,,,,,
5,53210,53957,"2",,,,,,
6,53958,56303,"3",,,,,,
7,56304,57460,"4",,,,,,
8,65628,69665,"1",,,,,,
9,69666,70345,"2",,,,,,
10,70346,71841,"3",,,,,,
11,71842,72760,"4",,,,,,
12,83179,87583,"1",,,,,,
13,87584,88467,"2",,,,,,
14,88468,98668,"3",,,,,,
15,98668,99824,"4",,,,,,
