phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,
0,43677,47905,"1",,,,,,
1,47906,48006,"2",,,,,,
2,48007,48007,"3",,,,,,
3,48008,51204,"4",,,,,,
4,59827,64021,"1",,,,,,
5,64022,65619,"2",,,,,,
6,65620,65653,"3",,,,,,
7,65654,68238,"4",,,,,,
8,75910,80817,"1",,,,,,
9,80818,81463,"2",,,,,,
10,81464,81735,"3",,,,,,
11,81736,84252,"4",,,,,,
12,91192,95913,"1",,,,,,
13,95914,96661,"2",,,,,,
14,96662,102781,"3",,,,,,
15,102782,104142,"4",,,,,,
