phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,
0,56462,60485,"1",,,,,,
1,60486,61505,"2",,,,,,
2,61506,61675,"3",,,,,,
3,61676,67116,"4",,,,,,
4,76182,80987,"1",,,,,,
5,80988,82041,"2",,,,,,
6,82042,82279,"3",,,,,,
7,82280,86462,"4",,,,,,
8,96469,101489,"1",,,,,,
9,101490,102339,"2",,,,,,
10,102340,103053,"3",,,,,,
11,103054,106454,"4",,,,,,
12,114887,120155,"1",,,,,,
13,120156,121107,"2",,,,,,
14,121108,121413,"3",,,,,,
15,121414,124916,"4",,,,,,
