phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,
0,42160,46171,"1",,,,,,
1,46172,46783,"2",,,,,,
2,46784,47361,"3",,,,,,
3,47362,50354,"4",,,,,,
4,58093,63069,"1",,,,,,
5,63070,63919,"2",,,,,,
6,63920,64327,"3",,,,,,
7,64328,73236,"4",,,,,,
8,83152,87311,"1",,,,,,
9,87312,88059,"2",,,,,,
10,88060,88365,"3",,,,,,
11,88366,90576,"4",,,,,,
12,98033,98064,"1",,,,,,
13,103088,103937,"2",,,,,,
14,103938,104243,"3",,,,,,
15,104244,106896,"4",,,,,,
