phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,
0,89871,94519,"1",,,,,,
1,94520,95471,"2",,,,,,
2,95472,95981,"3",,,,,,
3,95982,99518,"4",,,,,,
4,107956,115701,"1",,,,,,
5,115702,116653,"2",,,,,,
6,116654,117333,"3",,,,,,
7,117334,122162,"4",,,,,,
8,132247,137359,"1",,,,,,
9,137360,138039,"2",,,,,,
10,138040,139127,"3",,,,,,
11,139128,142188,"4",,,,,,
12,151932,157589,"1",,,,,,
13,157590,158507,"2",,,,,,
14,158508,158507,"3",,,,,,
15,158508,163132,"4",,,,,,
