phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,
0,46814,51951,"1",,,,,,
1,51952,52529,"2",,,,,,
2,52530,52971,"3",,,,,,
3,52972,54944,"4",,,,,,
4,62863,68441,"1",,,,,,
5,68442,69291,"2",,,,,,
6,69292,70515,"3",,,,,,
7,70516,72522,"4",,,,,,
8,82983,88467,"1",,,,,,
9,88468,89147,"2",,,,,,
10,89148,90099,"3",,,,,,
11,90100,93058,"4",,,,,,
12,101769,107711,"1",,,,,,
13,107712,108561,"2",,,,,,
14,108562,109411,"3",,,,,,
15,109412,112914,"4",,,,,,
