phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,
0,53911,53911,"1",,,,,,
1,58650,59431,"2",,,,,,
2,59432,60009,"3",,,,,,
3,60010,62458,"4",,,,,,
4,71962,77723,"1",,,,,,
5,77724,78777,"2",,,,,,
6,78778,79865,"3",,,,,,
7,79866,82518,"4",,,,,,
8,94685,99755,"1",,,,,,
9,99756,100571,"2",,,,,,
10,100572,101217,"3",,,,,,
11,101218,103530,"4",,,,,,
12,113437,119237,"1",,,,,,
13,119238,120087,"2",,,,,,
14,120088,121243,"3",,,,,,
15,121244,124848,"4",,,,,,
