phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,
0,62679,67795,"1",,,,,,
1,67796,68679,"2",,,,,,
2,68680,68781,"3",,,,,,
3,68782,70822,"4",,,,,,
4,81231,87481,"1",,,,,,
5,87482,88264,"2",,,,,,
6,88264,88705,"3",,,,,,
7,88706,90984,"4",,,,,,
8,105288,110703,"1",,,,,,
9,110704,111417,"2",,,,,,
10,111418,112097,"3",,,,,,
11,112098,128622,"4",,,,,,
12,136452,141609,"1",,,,,,
13,141610,142527,"2",,,,,,
14,142528,143003,"3",,,,,,
15,143004,165308,"4",,,,,,
