phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,
0,84126,89997,"1",,,,,,
1,89998,90915,"2",,,,,,
2,90916,91459,"3",,,,,,
3,91460,94588,"4",,,,,,
4,104914,109615,"1",,,,,,
5,109616,110669,"2",,,,,,
6,110670,111111,"3",,,,,,
7,111112,113662,"4",,,,,,
8,124700,129743,"1",,,,,,
9,129744,130592,"2",,,,,,
10,130593,130865,"3",,,,,,
11,130866,132736,"4",,,,,,
12,143219,147729,"1",,,,,,
13,147730,148715,"2",,,,,,
14,148716,149192,"3",,,,,,
15,149192,151572,"4",,,,,,
