phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,
0,64465,69223,"1",,,,,,
1,69224,70141,"2",,,,,,
2,70142,70991,"3",,,,,,
3,70992,73100,"4",,,,,,
4,82550,88161,"1",,,,,,
5,88162,89113,"2",,,,,,
6,89114,89113,"3",,,,,,
7,89114,91970,"4",,,,,,
8,118085,123759,"1",,,,,,
9,123760,124473,"2",,,,,,
10,124474,124575,"3",,,,,,
11,124576,127534,"4",,,,,,
12,138104,143581,"1",,,,,,
13,143582,144907,"2",,,,,,
14,144908,145111,"3",,,,,,
15,145112,147798,"4",,,,,,
