phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,
0,60654,65925,"1",,,,,,
1,65926,66741,"2",,,,,,
2,66742,66775,"3",,,,,,
3,66776,68850,"4",,,,,,
4,75569,79831,"1",,,,,,
5,79832,80817,"2",,,,,,
6,80818,80818,"3",,,,,,
7,80818,83265,"4",,,,,,
8,91285,95676,"1",,,,,,
9,95676,96322,"2",,,,,,
10,96322,96626,"3",,,,,,
11,96627,99960,"4",,,,,,
12,107668,112437,"1",,,,,,
13,112438,113253,"2",,,,,,
14,113254,113525,"3",,,,,,
15,113526,115566,"4",,,,,,
