phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,
0,41114,45287,"1",,,,,,
1,45288,46103,"2",,,,,,
2,46104,48653,"3",,,,,,
3,48654,50490,"4",,,,,,
4,58264,63715,"1",,,,,,
5,63716,64701,"2",,,,,,
6,64702,67455,"3",,,,,,
7,67456,68374,"4",,,,,,
8,76716,82109,"1",,,,,,
9,82110,82755,"2",,,,,,
10,82756,84421,"3",,,,,,
11,84422,85476,"4",,,,,,
12,94467,100197,"1",,,,,,
13,100198,100911,"2",,,,,,
14,100912,101897,"3",,,,,,
15,101898,107474,"4",,,,,,
