phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,
0,57674,61913,"1",,,,,,
1,61914,62627,"2",,,,,,
2,62628,65109,"3",,,,,,
3,65110,66164,"4",,,,,,
4,73757,78879,"1",,,,,,
5,78880,79831,"2",,,,,,
6,79832,81905,"3",,,,,,
7,81906,84660,"4",,,,,,
8,95178,100809,"1",,,,,,
9,100810,101761,"2",,,,,,
10,101762,104073,"3",,,,,,
11,104074,106046,"4",,,,,,
12,114197,119067,"1",,,,,,
13,119068,120053,"2",,,,,,
14,120054,123351,"3",,,,,,
15,123352,124984,"4",,,,,,
