phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,
0,29827,33897,"1",,,,,,
1,33898,34815,"2",,,,,,
2,34816,34985,"3",,,,,,
3,34986,36890,"4",,,,,,
4,44208,49945,"1",,,,,,
5,49946,50829,"2",,,,,,
6,50830,51237,"3",,,,,,
7,51238,53244,"4",,,,,,
8,61644,65857,"1",,,,,,
9,65858,66605,"2",,,,,,
10,66606,66707,"3",,,,,,
11,66708,71264,"4",,,,,,
12,79810,84829,"1",,,,,,
13,84830,85781,"2",,,,,,
14,85782,86427,"3",,,,,,
15,86428,94316,"4",,,,,,
