phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,
0,107530,112845,"1",,,,,,
1,112846,113627,"2",,,,,,
2,113628,116721,"3",,,,,,
3,116722,122264,"4",,,,,,
4,138662,143785,"1",,,,,,
5,143786,144771,"2",,,,,,
6,144772,148273,"3",,,,,,
7,148274,151436,"4",,,,,,
8,162686,168027,"1",,,,,,
9,168028,168979,"2",,,,,,
10,168980,170407,"3",,,,,,
11,170408,172686,"4",,,,,,
12,183464,189039,"1",,,,,,
13,189040,190059,"2",,,,,,
14,190060,194377,"3",,,,,,
15,194378,204816,"4",,,,,,
