phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,
0,62574,66979,"1",,,,,,
1,66980,67626,"2",,,,,,
2,67626,67795,"3",,,,,,
3,67796,69394,"4",,,,,,
4,79457,84625,"1",,,,,,
5,84626,85340,"2",,,,,,
6,85340,85441,"3",,,,,,
7,85442,87822,"4",,,,,,
8,105917,110023,"1",,,,,,
9,110024,110840,"2",,,,,,
10,110840,111179,"3",,,,,,
11,111180,115022,"4",,,,,,
12,124035,129403,"1",,,,,,
13,129404,130254,"2",,,,,,
14,130254,130422,"3",,,,,,
15,130423,132940,"4",,,,,,
