phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,
0,51088,56269,"1",,,,,,
1,56270,57052,"2",,,,,,
2,57052,60213,"3",,,,,,
3,60214,61574,"4",,,,,,
4,69540,74629,"1",,,,,,
5,74630,75582,"2",,,,,,
6,75582,78267,"3",,,,,,
7,78268,79866,"4",,,,,,
8,89327,94349,"1",,,,,,
9,94350,95200,"2",,,,,,
10,95200,98157,"3",,,,,,
11,98158,100334,"4",,,,,,
12,110281,116041,"1",,,,,,
13,116042,116858,"2",,,,,,
14,116858,120461,"3",,,,,,
15,120462,121924,"4",,,,,,
