phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,
0,38886,43383,"1",,,,,,
1,43384,44097,"2",,,,,,
2,44098,44573,"3",,,,,,
3,44574,46172,"4",,,,,,
4,54968,60655,"1",,,,,,
5,60656,61573,"2",,,,,,
6,61574,61607,"3",,,,,,
7,61608,70108,"4",,,,,,
8,79293,0,"1",,,,,,
9,83572,84319,"2",,,,,,
10,84320,84387,"3",,,,,,
11,84388,87992,"4",,,,,,
12,97611,102237,"1",,,,,,
13,102238,102985,"2",,,,,,
14,102986,103121,"3",,,,,,
15,103122,108970,"4",,,,,,
