phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,
0,72823,77859,"1",,,,,,
1,77860,78675,"2",,,,,,
2,78676,81089,"3",,,,,,
3,81090,81804,"4",,,,,,
4,90074,95845,"1",,,,,,
5,95846,96593,"2",,,,,,
6,96594,101795,"3",,,,,,
7,101796,109786,"4",,,,,,
8,120771,126411,"1",,,,,,
9,126412,127329,"2",,,,,,
10,127330,127635,"3",,,,,,
11,127636,135082,"4",,,,,,
12,145628,151911,"1",,,,,,
13,151912,153033,"2",,,,,,
14,153034,153033,"3",,,,,,
15,153034,156196,"4",,,,,,
